gene	lung_mean_RNAi
BIVM-ERCC5	0.130717333
DNAAF4-CCPG1	-0.000271357
TVP23C-CDRT4	-0.135688428
SENP3-EIF4A1	0.394233335
P2RX5-TAX1BP3	0.113470456
SLMO2-ATP5E	-0.245988863
APOC4-APOC2	0.070892885
TNFAIP8L2-SCNM1	0.096084877
HOXA10-HOXA9	0.120908747
URGCP-MRPS24	0.134101389
STX16-NPEPL1	0.027004687
HNRNPUL2-BSCL2	0.190767454
ISY1-RAB43	0.017717446
TM4SF19-TCTEX1D2	-0.204364745
C1QTNF3-AMACR	-0.030988431
UBA2	-0.543822489
SAE1	-0.230683276
FARSB	-0.044113073
ABCC5	-0.057329763
ABCB6	0.041037966
DNM1L	-0.424020331
CDH8	0.060436425
ABCC9	0.084057373
ABCF2	0.029802576
NR1H3	-0.013942445
COX17	-0.076506748
LOC100630923	-0.055025854
FAM47E-STBD1	-0.143405329
LOC100652833	0.191136761
ALOX15P1	0.096535369
LOC100653049	-0.301185099
SCAMP2	0.053497279
SCAMP3	0.007280857
IL18BP	-0.055111926
RWDD2B	-0.06192582
MUC12	-0.116434011
DPP3	-0.064439718
SNUPN	-0.071583797
HUWE1	-0.470864934
PTPRU	0.017902673
TSPAN32	-0.064956631
TSSC4	0.084314978
ATP9A	-0.067445364
CDH10	0.099523146
PDCD7	-0.102951361
GPC6	-0.081548269
MYZAP	0.137107461
USH1C	0.058537896
PQBP1	-0.233626293
EDIL3	0.047226348
HHLA1	-0.254811968
FSBP	0.031442215
CYP3A7-CYP3A51P	-0.029234783
COL4A3BP	-0.189119126
MRPS31P5	0.030920326
KCNK7	-0.044329914
CDH11	-0.169446107
UST	0.115786469
APOBEC3A_B	0.298007074
ARPC5	-0.04202171
ARPC4	-0.179797753
ARPC3	-0.030890432
ARPC1B	-0.101280882
ACTR3	-0.214123828
ACTR2	-0.270364357
TSPAN5	-0.090627975
TSPAN3	-0.237247538
FAM106B	0.018736963
POTEB	-0.005865273
LOC100996337	-0.057585314
LOC100996401	-0.031451019
LOC100996415	-0.026720257
FAM74A7	0.109185199
LOC100996643	0.262082811
SRGAP2D	0.14136956
LOC100996724	0.245059412
LOC100996747	-0.275280499
NPY4R2	-0.029716909
LOC100996792	-0.219671514
C7orf55-LUC7L2	0.012707769
ADAM8	-0.056404051
CDH12	-0.017107712
TSPAN2	0.065047984
TSFM	-0.090117788
TSPAN1	0.111968215
PPIF	0.165360045
CTDSP2	-0.319319205
TBC1D3G	-0.054066487
TBC1D3K	0.043325079
TBC1D3L	-0.002776146
TBC1D3D	0.196324523
LOC101060696	0.19004949
TRIM10	-0.004048186
ARPC2	-0.247646352
SGK2	-0.191609696
RAD50	-0.017103197
KIF20A	-0.120694259
PREB	-0.263661663
HIPK3	-0.271747448
ENAM	0.11352138
IPO11-LRRC70	-0.134055887
CDH13	0.122855042
ACTR1B	0.191102382
ACTR1A	-0.609135077
ARL4C	-0.204067254
ARL4A	0.080660029
ZNF263	-0.086441197
LRPPRC	-0.246198984
FRY	-0.060546766
CDH15	-0.096557905
PDIA6	0.132502197
TRAP1	0.020894106
OPTN	0.038455033
NAMPT	-0.179924778
CELA3A	-0.04189783
RBM12	-0.055227869
YAF2	0.053469309
ARFRP1	-0.193412824
CDH16	-0.178445638
TOB1	-0.091578041
LINC01587	0.004212925
AKAP9	-0.0211838
CLEC3A	0.090668536
FAM13A	-0.101185172
G3BP1	-0.022970984
SUGP2	0.114568768
EBI3	-0.109854409
ADGRG2	-0.032714674
CDH17	0.026922323
MBNL2	-0.066946531
HNRNPA3P1	-0.064966158
ABI2	-0.03464233
CEBPZ	-0.553719017
PLXNC1	-0.05054091
TRIM28	-0.129154437
RASA4	-0.01863728
AASS	-0.06739862
PDZK1IP1	0.049678263
ATP6AP2	-0.373515228
CDH18	-0.004546019
LPAR6	0.011927504
LPCAT3	0.193935119
WASF2	0.012607964
CHST4	-0.020449506
SLC25A13	-0.005387945
SLC25A15	-0.064966126
SERF2	-0.053197497
CDK2	-0.319468635
DHRS9	0.016433814
ZNF256	-0.175241948
SPECC1L-ADORA2A	0.001689537
SORBS3	0.048088539
CNIH1	-0.01754526
STAG3L5P-PVRIG2P-PILRB	-0.154525755
TENM1	0.014696077
RBM7	-0.011432237
RBM6	0.115386102
RBM5	-0.140764816
LHFPL2	0.132821612
LHFPL6	-0.088410504
TNK2	-0.074669914
ALYREF	-1.191863911
CDK4	-0.23486202
TXNDC9	0.149107475
LOC101926889	0.243362356
LOC101926969	-0.025980765
LOC101927060	0.079842259
LOC101927562	0.103104783
LOC101928208	0.045078843
LOC101928635	0.232138453
LOC101928879	0.18458581
LOC101929141	0.207530611
LOC101929322	-0.124833731
FANCD2P2	-0.149642538
LOC101929540	-0.005471399
LOC101929599	-0.001071877
LOC101929748	0.09038248
LOC101929775	0.017572999
NBPF25P	-0.047332252
LOC101929796	0.134023838
LOC101929829	-0.077364658
LOC101929876	-0.510371236
LOC101929894	0.062826565
LOC101929950	0.28120451
LOC101929970	-0.005685531
RNF41	-0.07294068
LOC101930006	-0.089115104
LOC101930105	-0.028660816
LOC101930665	0.121608566
TSHZ1	0.05284447
ALG3	0.065362062
PRMT3	0.00948529
PSME3	-0.158367477
MPHOSPH9	-0.098242729
MPHOSPH10	-0.719362945
ADAM10	-0.13002128
CDK5	0.015183722
MPHOSPH6	-0.567678165
NME6	-0.035970709
DHRS2	0.07314515
CALCRL	-0.153141054
NUTF2	-1.34548989
MPZL2	0.000386735
TRIM13	-0.10147976
PATJ	0.12065157
USPL1	-0.654206937
EIF1	-0.011235182
CDK6	-0.099570543
TOPORS	-0.127801305
FLOT1	-0.110526425
DDX39A	-0.236768228
PSMD14	-0.767506351
SSX3	0.118999482
OLIG2	-0.015646868
CTDSPL	-0.014431098
ANGPTL7	-0.190265266
KLRG1	0.004919406
CDK7	-0.177384443
GDF11	0.0222608
TRIB1	-0.201095705
GPA33	-0.013786727
ZNF443	0.103129661
CD96	0.029851498
PLIN3	-0.044396685
MFSD10	0.042187966
STX6	0.039808536
C11orf98	0.15195451
COQ7	0.156817016
NBR2	0.10647455
RCAN2	0.099151156
MSLN	-0.129646967
LRRC23	0.051873449
RASGRP2	-0.009470512
HNRNPR	-0.076860421
SLC35B1	-0.012704091
DCAF7	-0.278167013
AP3S2	0.140937175
CDK8	-0.130457189
MRPS31	-0.334492067
CALCOCO2	-0.05789339
KCNMB2	0.015284736
GPHN	0.016637901
RABEPK	-0.067478874
SLC17A2	-0.085970509
RIDA	-0.055850518
POP7	-0.013888591
GLYAT	0.01796915
CDK9	-0.300136909
SRRM1	-0.413691672
SPRY1	-0.143835278
SPRY2	-0.004114158
STAM2	0.01062789
CNKSR1	0.012673248
ABCC4	-0.089111744
CDKN1A	0.020284981
IGSF6	-0.027533776
SF3B4	-0.701051365
CDK2AP2	-0.199381652
IRX5	-0.209930311
RAMP2	-0.053280845
RAMP1	-0.021840112
RAMP3	0.038140157
ZMPSTE24	-0.069429578
CDKN1B	0.007281856
AKAP8	-0.058174827
FSTL3	0.053487323
KANTR	0.03536777
ANKRD20A21P	0.217995586
LOC102723728	0.107084319
CT45A8	0.030356855
LOC102723753	0.086188276
SPDYE17	-0.050790706
TBC1D3E	0.172692597
LOC102723897	-0.552453423
LOC102723996	-0.030660357
LOC102724159	-0.497780198
LOC102724184	0.127310428
LOC102724197	0.007871811
LOC102724229	0.006361148
LOC102724250	0.15337801
SVIL-AS1	0.191591855
LOC102724334	0.037007462
LOC102724428	0.097286279
LOC102724562	0.170779304
LOC102724642	0.495464105
LOC102724788	0.221588344
TBC1D3I	0.104989099
LOC102724865	-0.074758694
LOC102724984	0.019933626
LOC102725035	0.099612214
LOC102725070	0.015203663
LOC102725117	-0.077986571
LOC102725241	-0.312081092
STUB1	-0.028407272
STAG1	0.118676872
NET1	0.036903192
UBE4B	-0.282710106
PRSS16	-0.38406712
CDKN1C	0.065032812
SIGMAR1	-0.142794079
LOC400927-CSNK1E	-0.007585558
DSCR4	0.121926772
BET1	-0.169030566
CWC27	-0.159900654
SAP18	-0.46251105
SMNDC1	-0.591936243
BCAS2	-0.145405748
RGS19	-0.280585319
LILRB2	0.065510356
EIF1B	-0.049337278
CDKN2A	0.053746784
SPEG	0.054876104
SF3A1	-1.176127652
TRAIP	-0.13173007
DNAJA2	-0.155255322
BCKDK	-0.135001381
MAEA	-0.168870665
APC2	-0.154536751
PAK4	-0.003289855
6-Mar	-0.111482369
ADAR	-0.346755873
CDKN2B	-0.145327011
KATNB1	-0.11505515
DLEU1	0.170148423
SNAPC5	0.067308136
LOC103021295	0.071031187
APBB3	0.083450394
ZNF267	0.10999557
CCNO	-0.022425257
CDKN2C	-0.007159635
DSCR3	-0.043605032
TCIRG1	0.083553745
RTN3	-0.119436363
LANCL1	-0.092236582
NMUR1	-0.174438294
B3GALT5	0.088470072
TNIP1	-0.111113358
LAMC3	0.03289561
CDKN2D	-0.053111971
IKZF1	0.065674738
CRISP3	0.024217275
SMYD5	0.014834972
KLHL41	0.048510931
RRAGB	-0.132525057
SIRPB1	-0.012692007
AKR1A1	-0.142120506
EMC8	-0.084205958
TMEM5	-0.329758313
CDKN3	-0.086788278
CNPY2	-0.024673655
B3GNT3	-0.011474892
CLEC4M	0.070832398
TLR6	-0.053969535
MRVI1	0.197382027
PCGF3	0.038207455
TFG	-0.075183728
PKDREJ	0.056225144
CCL26	-0.133147615
TRDN	-0.017038414
TRIM22	0.072978899
ABCA7	0.001879196
ABCA10	-0.147747464
ABCA9	0.094569779
ABCA8	0.032551751
WARS2	-0.045292763
CDO1	-0.008611019
NPM3	-0.104619971
NPM2	-0.405389602
HMG20B	-0.086284578
HMG20A	-0.115869135
KLF2	-0.073380175
MICU1	-0.023752675
CACNG3	-0.016891205
CACNG2	-0.14117679
CITED2	0.003519056
SEMA3A	0.072088763
TUBA1B	-0.833696501
IRF9	-0.039943994
CDR1	-0.041509432
BPNT1	0.006029818
TUBB3	-0.038253485
TUBB4A	0.087040099
TUBB4B	-0.032378222
BTN3A3	0.078905078
BTN2A2	0.005340916
SYCP2	0.035554894
SCML2	-0.094002956
CEPT1	-0.167433183
CORO2B	-0.109569129
MYL12B	-0.170396593
NOD1	-0.072936553
ANAPC10	-0.036489722
PRG3	0.016868663
ATP8A1	0.056178135
NDRG1	-0.151957593
MYL9	0.090814315
RACK1	-0.766573067
ADARB1	-0.071387891
CDS1	-0.016899039
PEMT	-0.014892897
PIAS3	0.01354796
ST3GAL6	0.05152027
NDC80	-0.30232424
CPQ	0.027411881
WFDC2	-0.090931676
SPAG11B	-0.107448085
BASP1	0.198499447
CDSN	0.042851531
IFITM3	0.080811351
RAPGEF3	-0.079922732
NSA2	-0.634474452
YAP1	-0.104454708
SPON2	0.045728989
SPON1	-0.029712287
PRMT5	-0.359854332
TESK2	-0.017224042
CD2BP2	-0.086667343
UBAC1	0.057586622
CDIPT	-0.158125465
PGRMC2	0.089098693
ARIH2	0.051081578
TUBGCP3	-0.55792552
SEC24B	-0.111667965
CFDP1	0.008677248
CD52	-0.031944167
TMEM147	-0.186032906
RBM14	-0.28598328
LYPLA1	-0.057809405
CDC42EP2	0.007231109
EMG1	-0.574112348
IFI30	-0.159153085
C1D	-0.176084567
CDX1	0.017295341
TIMM17A	0.049363201
N4BP2L2	0.119279334
ZER1	0.058292856
MCRS1	-0.396959336
LRRN2	0.072634392
FAM3C	0.122717405
ACAA2	0.142949615
CDX2	0.083233168
PPIE	-0.679854008
VAV3	0.016004667
TOMM40	-0.798474751
TAB1	-0.003200761
ECI2	-0.104811781
HAX1	0.03919465
GPNMB	0.061474407
BAIAP2	0.000568938
MAD2L2	-0.080238573
CDX4	-0.033348875
TACC3	-0.658029727
MERTK	-0.163325061
CLEC10A	-0.145357387
SLC30A9	-0.317931651
PPIH	-0.107136603
COG5	-0.085976899
ZNHIT1	-0.641552329
FST	-0.180591317
TIMM44	-0.757860534
CLGN	0.086737211
PFDN6	0.093568989
ZBTB18	0.032167979
HMGN4	0.05299292
TADA3	-0.324027088
TRIM38	0.146674386
ATP5H	-0.483093243
UBE2E3	0.050467198
SLC25A17	-0.047164275
SLC9A6	-0.072589247
CEACAM5	0.00274873
EIF3M	-0.759750952
HOXB13	0.001289451
NXF1	-0.867634405
SEC23B	0.129254619
SEC23A	-0.05196699
CAP2	0.0961803
CAP1	-0.110353331
CREB3	-0.143083869
LRRC41	0.083639062
VTI1B	-0.18430339
CRTAP	0.082293851
SYNCRIP	-0.03400294
STK25	-0.086989251
ENOX2	0.005081923
UNC13B	-0.001987963
CARM1	-0.060452498
NCOA2	-0.04568926
ADARB2	0.029890112
CEBPA	-0.065171755
SEMA6B	-0.104483273
SEMA4F	-0.012610302
SEMA4D	-0.048421224
SEMA4B	-0.086479225
CEBPB	-0.111255223
SEMA3C	-0.02522576
APPBP2	0.049291719
MYBBP1A	-0.403291914
FBLN5	-0.089636768
FBXW10	0.079346194
CIB2	-0.019975613
CIB1	0.103322359
CEBPD	-0.040751657
ZNF211	0.044078838
DDX17	-0.269248726
DEAF1	-0.038080387
CHERP	-0.440106428
KAT5	-0.276050774
HYOU1	-0.180259696
IPO8	0.069729213
IPO7	-0.64497837
NOP56	0.019194481
NEBL	0.140300847
CEBPE	0.045556356
PITRM1	-0.075263086
ATG7	-0.152543276
SSSCA1	0.035353706
RNASEH2A	-0.110436803
P3H3	-0.080021552
PKD1P6-NPIPP1	-0.115277528
LOC105369189	0.083069043
LOC105369233	0.007344491
LOC105369239	0.01803732
LOC105369244	0.344002457
LOC105369247	0.102870647
LOC105369252	-0.039668392
LOC105369254	0.036319371
LOC105369273	-0.127654925
LOC105369347	-0.020720886
LOC105369520	0.064426325
UBD	-0.042948892
LOC105370099	0.091234484
LOC105370978	0.122472431
LOC105371137	-0.124969417
LOC105371242	-0.015354378
LOC105371814	0.09152399
ERVK3-1	0.497048277
LOC105372824	0.142261597
LOC105373388	-0.108942285
LOC105374601	-0.059083257
LOC105374925	0.05323132
LOC105375262	0.104228108
UPK3B	-0.122430312
LOC105376114	0.045580316
LOC105376361	0.35057958
LOC105376839	-0.05181198
LOC105376957	0.077030811
LOC105377605	0.042499125
LOC105378260	0.082886282
LOC105378433	0.068791306
LOC105379426	-0.056661942
LOC105379511	-0.264485497
LOC105379562	0.202458929
LOC105379650	-0.029000362
BATF	0.008840986
GLRX3	0.041970333
CEBPG	-0.276983625
DCTN2	-0.155972744
ANP32B	-0.027753661
LAMTOR5	-0.023716508
PROCR	-0.066027513
TM9SF1	0.039800884
PRDX4	-0.075418654
ARL6IP5	0.134446807
AGR2	-0.152258028
ARPC1A	-0.355583009
HTATIP2	0.121261903
AGPAT1	-0.007853781
AGPAT2	-0.088077702
RPP30	-0.793887926
RPP38	-0.473314165
SPTLC1	-0.083252748
SLC35A1	-0.078599922
CEL	-0.112342447
SLC19A2	-0.051913954
IFI44	0.100668919
OLFM4	-0.536763475
CXCL13	0.10636142
ARFGEF1	0.012039845
AKAP3	0.072800541
RABAC1	0.092413757
SLC34A2	0.083110374
SLU7	-0.600469938
DPYSL4	-0.081832049
SIVA1	-0.021366884
MRPL28	0.033432152
CCT7	-1.404451501
CCT4	-1.070840516
CCT2	-0.845517436
NPC2	-0.085555181
GNLY	-0.031473688
TACC2	-0.012656107
CENPA	-0.250846338
SORBS1	0.028926774
IFITM2	0.063062243
COLEC10	-0.224238158
POMT1	-0.122429771
MAB21L2	0.068183089
TXNRD2	-0.024029636
DRAP1	-0.078937887
CENPB	-0.257467126
SCGN	-0.19738505
DNPH1	0.069678516
SMC2	-1.130879454
PRPF8	-0.999575269
ERN2	-0.134310841
TRAPPC2B	-0.064042189
AHSA1	-0.006087355
SLCO1B1	0.01471357
CENPC	-0.728905423
USP16	0.022613284
CDC42EP3	0.037214284
SH2B2	0.042483088
PAIP1	-0.128495231
PAICS	-0.128672437
TBL3	-0.658257095
MXD4	0.073591668
P3H4	-0.095088409
ST6GALNAC2	0.060787006
PDLIM5	-0.020582641
TRIM3	0.109336598
HEXIM1	-0.008286707
SPAG5	-0.379494577
RBCK1	-0.187142328
STAMBP	-0.016176465
TGOLN2	-0.154851528
CENPE	-0.232302727
ARID3B	-0.180937039
POLR3F	0.270482949
POLR3G	0.044882818
POLR3C	-0.085353419
IVNS1ABP	0.005854786
TRIM16	-0.02080905
MYL12A	-0.186101269
TXNIP	0.024890287
CENPF	0.018422437
PDPN	-0.01980378
POSTN	-0.148901355
ATP5L	-0.102669537
RASL10A	-0.040346721
GAS2L1	-0.149570511
RAD51AP1	-0.145110601
RGS14	0.006079947
LEFTY1	-0.093760824
SPHAR	0.100850984
EXOC5	-0.269133533
NPRL2	-0.014839364
IGF2BP1	-0.142352759
IGF2BP3	-0.04045358
IGF2BP2	-0.046415765
CAMKK2	-0.110293447
SCGB1D2	-0.00204357
SCGB1D1	0.018569068
PRELID3A	-0.039968943
MTX2	0.03532465
YKT6	-0.038145798
SPINT2	-0.136896913
PMVK	-0.037229691
DMRT2	-0.055952588
KHDRBS3	0.003363463
KHDRBS1	0.034996578
CELF1	-0.142318301
CELF2	-0.066444651
CES1	0.118297706
LBX1	-0.072699596
KLF1	0.051606956
CTCF	-0.403880017
C6orf10	-0.030646682
CD226	-0.02220238
LINC00680	0.089488185
FARS2	-0.254697991
CGRRF1	0.082205869
CGREF1	0.063394764
RRAGA	0.041311854
DCTN6	-0.304513145
GNA13	0.089118062
TNFSF13B	-0.122715877
CSPG5	0.015984983
AVIL	0.049840646
B3GNT2	-0.081557361
CETN1	-0.071990203
GNB5	-0.089100541
EBP	-0.027248671
DLL3	-0.070695312
CLDN16	0.077827519
WRB-SH3BGR	0.076127375
PNMA2	0.025778865
CETN2	0.09918626
FUT9	-0.158967505
GMEB1	-0.097404029
RRH	0.028662472
CCT6B	-0.098714137
CCT8	-1.130049776
CNPY3	-0.041148025
CORIN	0.027733229
ADCY1	-0.112323929
CETN3	-0.015109989
TBC1D7-LOC100130357	0.01887159
CNPY3-GNMT	0.163065057
CETP	0.12942085
FAM189B	0.018951649
USP39	-1.422524726
POLD3	-0.042687094
TBR1	0.021223641
AP4B1	0.06960627
NRG3	0.020219009
CFL1	-0.284479766
UGT2B11	0.08739465
POLQ	-0.050461565
SLC12A7	0.00400799
MGEA5	-0.035229918
NFAT5	0.028939311
NUDC	-0.326099855
PTGES3	0.102983058
CFL2	-0.016885912
YME1L1	-0.208469031
SETDB2-PHF11	0.060131121
TCFL5	-0.04115258
PLK4	-0.077531931
STAG3	0.115054559
STAG2	-0.204765541
SIX2	-0.101964233
RFPL3	0.133235349
RFPL2	0.082952304
RBBP9	0.06754308
RAI2	-0.114291754
RAI1	0.041528326
PTTG2	0.026582925
PHTF1	-0.044252198
MAP3K2	-0.062352062
MASP2	-0.305367333
KLRA1P	-0.056940653
KIF1C	0.055645521
CTSC	0.077205615
GRAP	-0.015794644
CAPN9	0.012117999
GIPC1	-0.195169337
TRAF3IP2	0.093511544
PLAC1	0.054364047
NUP50	-0.1885855
NES	0.040132832
KDM5B	-0.065973291
TOB2	0.068764666
HBS1L	-0.220352697
AHCYL1	-0.131628785
PLK2	0.039534017
ZMYND11	-0.091965702
SRSF10	-0.226442544
ZBTB6	-0.0296473
POP4	-0.076087406
ARPP19	-0.029458147
ARPP21	-0.09501657
ZNF234	0.041857225
ZNF266	-0.301725419
ZNF274	0.03295699
NEK6	-0.020011428
WDR4	-0.067415465
SLC17A3	0.16588461
NCKAP1	-0.120468603
IQGAP2	-0.04012274
VAMP5	0.182808036
ZNF273	0.042491944
ZNF460	-0.141477381
ZNF268	0.004532197
MTHFD2	-0.064294007
OR5I1	-0.071948563
LOC107983965	0.10123478
UPK3BL2	-0.348597715
LOC107984021	-0.381783838
LOC107984026	0.0724602
LOC107984050	0.221060804
LOC107984054	0.046618718
LOC107984055	0.228557641
LOC107984056	0.106444451
LOC107984058	0.072000176
LOC107984065	0.123977036
LOC107984067	0.206191974
LOC107984086	0.098754613
LOC107984090	0.165420952
LOC107984099	0.198433051
LOC107984110	0.080441258
LOC107984126	0.111911278
LOC107984289	0.07973047
LOC107984562	-0.022055089
LOC107984838	0.028029056
LOC107984873	0.241624948
LOC107985117	-0.239188705
LOC107985332	0.052466867
LOC107985636	0.210457236
LOC107986078	0.099890137
LOC107986102	-0.029507077
LOC107986383	0.004172669
LOC107986810	0.005927428
CZ1P-ASNS	0.109234126
REXO1L5P	-0.041935626
LOC107986988	0.004267581
LOC107987005	0.086593803
LOC107987163	0.298333053
LOC107987188	0.035156565
LOC107987397	-0.092754673
LOC107987423	-0.113669526
LOC107987433	0.128917411
LOC107987438	0.001939207
LOC107987461	0.027266897
LOC107987462	0.132119489
LOC107987587	0.063369619
RPP40	-0.67287288
ADCY2	-0.173903392
CFTR	-0.057390221
CYSLTR1	-0.003766257
9-Sep	-0.050905323
CCR9	-0.025365256
GJB6	0.031436131
SDCCAG8	-0.173185111
SDCCAG3	-0.050364406
HSPH1	-0.021462458
STARD10	-0.065051843
CGA	0.03527082
WASF3	-0.008619817
NOXA1	0.00926028
UTP14A	-0.840632513
CPLX2	-0.090598511
CPLX1	0.01792708
SPINT3	-0.292681645
FRS3	0.023390195
FRS2	-0.01372593
NEU3	-0.182978289
FAXDC2	0.156551646
FAM114A2	0.094728622
ZNF275	0.051104364
CEACAM3	-0.022389408
ALDH1L1	0.016672051
FTCD	-0.105069949
PPP1R17	-0.122951444
TUBGCP2	-1.206999707
CLPX	0.047304846
PDE10A	-0.06353967
SRCAP	-0.408806486
PPP1R13L	0.046227234
CD3EAP	-0.129815575
CCL27	-0.157526087
HPSE	-0.138373711
RUVBL2	-1.279252956
PGRMC1	0.024174868
CYP46A1	-0.014057453
LILRB1	-0.082707545
SLC26A1	0.016541481
ADAM28	-0.008405829
SLC22A7	0.014665992
ARID5A	-0.001367227
