gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
CTLA4	2743	1493	GuideToPharmacologyInteractions	antibody	6888	IPILIMUMAB	IPILIMUMAB	CHEMBL1789844	
NAT1	NAT1	9	ChemblInteractions	inhibitor	CHEMBL1201023	ORPHENADRINE (CHLORIDE)	ORPHENADRINE (CHLORIDE)	CHEMBL1201023	
SLC6A2	926	6530	GuideToPharmacologyInteractions	inhibitor	7266	PHENELZINE	PHENELZINE	CHEMBL1089	
LTB4R	BLT	1241	ChemblInteractions	antagonist	CHEMBL1742420	AMELUBANT	AMELUBANT	CHEMBL1742420	
SCN4A	SCN4A	6329	ChemblInteractions	blocker	CHEMBL315985	ESLICARBAZEPINE	ESLICARBAZEPINE	CHEMBL315985	
GRIN2A	NMDAR2A	2903	ChemblInteractions	positive allosteric modulator	CHEMBL1255840	NEBOGLAMINE	NEBOGLAMINE	CHEMBL1255840	
CCR2	59	729230	GuideToPharmacologyInteractions	agonist	774	VCCL4			
GCGR	TTDS00439	2642	TTD	binder	DAP001037	GLUCAGON RECOMBINANT	GLUCAGON	CHEMBL266481	
AR	DHTR	367	ChemblInteractions	agonist	CHEMBL2107067	TESTOSTERONE UNDECANOATE	TESTOSTERONE UNDECANOATE	CHEMBL2107067	
KDR	FLK1	3791	ChemblInteractions	agonist	CHEMBL2108557	TELBERMIN	TELBERMIN	CHEMBL2108557	
GRIA4	447	2893	GuideToPharmacologyInteractions	allosteric modulator	4166	CX546	CHEMBL1255648	CHEMBL1255648	
LHCGR	LCGR	3973	ChemblInteractions	agonist	CHEMBL1201464	CHORIOGONADOTROPIN ALFA	CHORIOGONADOTROPIN ALFA	CHEMBL1201464	
DRD2	215	1813	GuideToPharmacologyInteractions	agonist	950	7-OH-DPAT	CHEMBL285755	CHEMBL285755	
CHRNA10	470	57053	GuideToPharmacologyInteractions	antagonist	3980	[3H]METHYLLYCACONITINE	METHYLLYCACONITINE	CHEMBL510275	
SLC6A4	928	6532	GuideToPharmacologyInteractions	inhibitor	59	ZIPRASIDONE	ZIPRASIDONE	CHEMBL708	
HTR1D	HTR1DA	3352	ChemblInteractions	agonist	CHEMBL2062265	ERGOTAMINE TARTRATE	ERGOTAMINE TARTRATE	CHEMBL2062265	
KDR	FLK1	3791	ChemblInteractions	inhibitor	CHEMBL3545339	Fruquintinib	Fruquintinib	CHEMBL3545339	
PRKCE	TTDC00066	5581	TTD	activator	DCL000140	KAI-1455	MEPROBAMATE	CHEMBL979	
HDAC8	2619	55869	GuideToPharmacologyInteractions	inhibitor	7490	GIVINOSTAT	CHEMBL1213492	CHEMBL1213492	
SLC18A1	1011	6570	GuideToPharmacologyInteractions	inhibitor	88	KETANSERIN	KETANSERIN	CHEMBL51	
CCR5	CMKBR5	1234	ChemblInteractions	antagonist	CHEMBL1201187	MARAVIROC	MARAVIROC	CHEMBL1201187	
HDAC4	HDAC4	9759	TALC	inhibitor	CUDC-101	CUDC-101	CUDC-101	CHEMBL598797	
CSNK2A1	1549	1457	GuideToPharmacologyInteractions	inhibitor	8140	COMPOUND 2C [PMID: 22115617]			
DRD3	216	1814	GuideToPharmacologyInteractions	agonist	35	BROMOCRIPTINE	BROMOCRIPTINE	CHEMBL493	
MAPK11	PRKM11	5600	ChemblInteractions	inhibitor	CHEMBL190333	RWJ-67657	RWJ-67657	CHEMBL190333	
ABAT	TTDS00024	18	TTD	inhibitor	DAP000805	L-ALANINE	L-ALANINE	CHEMBL279597	
CCR5	62	1234	GuideToPharmacologyInteractions	agonist	763	[125I]CCL3 (HUMAN)	GUANIDINO ACETATE	CHEMBL281593	
P4HTM	PH4	54681	ChemblInteractions	inhibitor	CHEMBL3544988	DAPRODUSTAT	DAPRODUSTAT	CHEMBL3544988	
AVPR2	ADHR	554	ChemblInteractions	antagonist	CHEMBL344159	TOLVAPTAN	TOLVAPTAN	CHEMBL344159	
GABRR2	421	2570	GuideToPharmacologyInteractions	antagonist	4096	CIS-3-ACPBPA			
ABL2	TTDS00350	27	TTD	inhibitor	DAP000474	ADENOSINE TRIPHOSPHATE	ADENOSINE TRIPHOSPHATE	CHEMBL14249	
PPARA	TTDS00340	5465	TTD	agonist	DCL000897	NETOGLITAZONE	NETOGLITAZONE	CHEMBL93747	
TXK	2268	7294	GuideToPharmacologyInteractions	inhibitor	8148	COMPOUND 31 [PMID: 24915291]			
PIK3CG	PIK3CG	5294	ChemblInteractions	inhibitor	CHEMBL230011	TG100-115	TG100-115	CHEMBL230011	
CHRM2	14	1129	GuideToPharmacologyInteractions	antagonist	368	[3H]AF DX-384	CHEMBL279453	CHEMBL279453	
AR	628	367	GuideToPharmacologyInteractions	antagonist	8638	GALETERONE	GALETERONE	CHEMBL2105738	
AR	TTDS00367	367	TTD	modulator	DPR000088	OSTARINE			
P2RY6	326	5031	GuideToPharmacologyInteractions	agonist	1731	5BRUTP	CHEMBL384527	CHEMBL384527	
PIK3R3	PIK3R3	8503	MyCancerGenome	inhibitor	GDC-0941	GDC-0941	PICTILISIB	CHEMBL521851	
GABRQ	GABRQ	55879	ChemblInteractions	positive allosteric modulator	CHEMBL526	PROPOFOL	PROPOFOL	CHEMBL526	
PTGS1	COX1	5742	ChemblInteractions	inhibitor	CHEMBL956	SUPROFEN	SUPROFEN	CHEMBL956	
GABRA5	GABRA5	2558	ChemblInteractions	positive allosteric modulator	CHEMBL451	CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	CHEMBL451	
PIK3CA	PIK3CA	5290	MyCancerGenome	inhibitor	INK-1117	INK-1117	INK-1117	CHEMBL3545055	
PTGER4	343	5734	GuideToPharmacologyInteractions	agonist	1881	PGD2			
CPT2	1376	1376	GuideToPharmacologyInteractions	inhibitor	7219	MECLOFENAMIC ACID	MECLOFENAMIC ACID	CHEMBL509	
WNK1	2280	65125	GuideToPharmacologyInteractions	inhibitor	8836	PP1	CHEMBL306380	CHEMBL306380	
RXRG	NR2B3	6258	ChemblInteractions	agonist	CHEMBL705	ALITRETINOIN	ALITRETINOIN	CHEMBL705	
PIK3CB	2154	5291	GuideToPharmacologyInteractions	inhibitor	7794	TASELISIB	TASELISIB	CHEMBL2387080	
KCNQ1	560	3784	GuideToPharmacologyInteractions	activator	2439	NIFLUMIC ACID	NIFLUMIC ACID	CHEMBL63323	
NR3C1	GRL	2908	ChemblInteractions	agonist	CHEMBL1200376	BETAMETHASONE BENZOATE	BETAMETHASONE BENZOATE	CHEMBL1200376	
RPS6KB1	STK14A	6198	ChemblInteractions	inhibitor	CHEMBL3545134	LY-2780301	LY-2780301	CHEMBL3545134	
CHRM1	CHRM1	1128	ChemblInteractions	agonist	CHEMBL1200330	PILOCARPINE HYDROCHLORIDE	PILOCARPINE HYDROCHLORIDE	CHEMBL1200330	
TUBB1	TUBB1	81027	ChemblInteractions	inhibitor	CHEMBL1743082	TRASTUZUMAB EMTANSINE	TRASTUZUMAB EMTANSINE	CHEMBL1743082	
GRM7	295	2917	GuideToPharmacologyInteractions	agonist	1411	L-SERINE-O-PHOSPHATE	DEXFOSFOSERINE	CHEMBL284377	
SMO	239	6608	GuideToPharmacologyInteractions	antagonist	8198	SARIDEGIB	SARIDEGIB	CHEMBL538867	
RRM2	RR2	6241	ChemblInteractions	inhibitor	CHEMBL467	HYDROXYUREA	HYDROXYUREA	CHEMBL467	
CSF2RA	CSF2R	1438	ChemblInteractions	agonist	CHEMBL1201670	SARGRAMOSTIM	SARGRAMOSTIM	CHEMBL1201670	
CCR3	60	1232	GuideToPharmacologyInteractions	agonist	773	HIV-TAT			
NPR1	ANPRA	4881	ChemblInteractions	agonist	CHEMBL1201668	NESIRITIDE	NESIRITIDE	CHEMBL1201668	
SSTR3	357	6753	GuideToPharmacologyInteractions	agonist	2073	"L-796,778"	AJMALINE	CHEMBL2105617	
DRD5	218	1816	GuideToPharmacologyInteractions	agonist	940	DOPAMINE	DOPAMINE	CHEMBL59	
NDUFB2	NDUFB2	4708	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
FLT3	FLT3	2322	MyCancerGenome	inhibitor	PLX3397	PLX3397	PLX-3397	CHEMBL3545158	
PSMB4	PROS26	5692	ChemblInteractions	inhibitor	CHEMBL2103884	OPROZOMIB	OPROZOMIB	CHEMBL2103884	
NR3C2	MCR	4306	ChemblInteractions	agonist	CHEMBL1200592	DESOXYCORTICOSTERONE PIVALATE	DESOXYCORTICOSTERONE PIVALATE	CHEMBL1200592	
PSMB2	PSMB2	5690	ChemblInteractions	inhibitor	CHEMBL451887	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
TRPC5	490	7224	GuideToPharmacologyInteractions	channel blocker	2438	BTP2			
ATP2A1	840	487	GuideToPharmacologyInteractions	allosteric modulator	8822	TGN4			
CDK8	CDK8	1024	ChemblInteractions	inhibitor	CHEMBL3544942	Roniciclib	Roniciclib	CHEMBL3544942	
CASP9	MCH6	842	ChemblInteractions	inhibitor	CHEMBL2105721	NIVOCASAN	NIVOCASAN	CHEMBL2105721	
MAOA	MAOA	4128	ChemblInteractions	inhibitor	CHEMBL1200895	PHENELZINE SULFATE	PHENELZINE SULFATE	CHEMBL1200895	
HTR2A	6	3356	GuideToPharmacologyInteractions	antagonist	98	SERTINDOLE	SERTINDOLE	CHEMBL12713	
ADRA1B	ADRA1B	147	ChemblInteractions	agonist	CHEMBL2103827	DROXIDOPA	DROXIDOPA	CHEMBL2103827	
KCNJ11	KCNJ11	3767	ChemblInteractions	blocker	CHEMBL1073	GLIPIZIDE	GLIPIZIDE	CHEMBL1073	
NPEPPS	1575	9520	GuideToPharmacologyInteractions	inhibitor	8671	ANTAQ	ANTAQ	CHEMBL169736	
PTGER3	TTDC00037	5733	TTD	antagonist	DCL000105	DG041	CHEMBL565591	CHEMBL565591	
GRIN3B	GRIN3B	116444	ChemblInteractions	antagonist	CHEMBL3707400	Indantadol	Indantadol	CHEMBL3707400	
GRIA1	GLUH1	2890	ChemblInteractions	antagonist	CHEMBL119625	ZONAMPANEL	ZONAMPANEL	CHEMBL119625	
DRD2	DRD2	1813	ChemblInteractions	antagonist	CHEMBL715	OLANZAPINE	OLANZAPINE	CHEMBL715	
HTR6	11	3362	GuideToPharmacologyInteractions	antagonist	9444	INTEPIRDINE	SB-742457	CHEMBL1083390	
BACE2	2331	25825	GuideToPharmacologyInteractions	inhibitor	6540	EXAMPLE 98 [WO2011020806]			
C5AR1	32	728	GuideToPharmacologyInteractions	antagonist	5763	JPE1375			
CHRNA2	463	1135	GuideToPharmacologyInteractions	channel blocker	3990	MECAMYLAMINE			
PROKR1	335	10887	GuideToPharmacologyInteractions	agonist	1868	PROKINETICIN-2β			
EGFR	1797	1956	GuideToPharmacologyInteractions	inhibitor	5993	JAK3 INHIBITOR II			
PDGFRA	1803	5156	GuideToPharmacologyInteractions	antibody	9172	OLARATUMAB	OLARATUMAB	CHEMBL1743049	
HRH1	TTDS00086	3269	TTD	antagonist	DAP000331	DESLORATADINE	DESLORATADINE	CHEMBL1172	
OPRK1	318	4986	GuideToPharmacologyInteractions	antagonist	7471	ALVIMOPAN	ALVIMOPAN	CHEMBL270190	
KIT	TTDS00270	3815	TTD	inhibitor	DAP001550	PAZOPANIB HCL	PAZOPANIB HYDROCHLORIDE	CHEMBL1201733	
NTRK1	1817	4914	GuideToPharmacologyInteractions	inhibitor	8123	COMPOUND 1D [PMID: 21493067]			
IL2RA	IL2RA	3559	ChemblInteractions	inhibitor	CHEMBL1201605	DACLIZUMAB	DACLIZUMAB	CHEMBL1201605	
ITPR2	744	3709	GuideToPharmacologyInteractions	activator	4223	"INOSITOL 2,4,5-TRISPHOSPHATE"	CHEMBL420806	CHEMBL420806	
PDE3B	PDE3B	5140	ChemblInteractions	inhibitor	CHEMBL190	THEOPHYLLINE	THEOPHYLLINE	CHEMBL190	
GALR3	245	8484	GuideToPharmacologyInteractions	agonist	6075	J18 (GALANIN ANALOGUE)			
GABRA4	GABRA4	2557	ChemblInteractions	positive allosteric modulator	CHEMBL970	HALAZEPAM	HALAZEPAM	CHEMBL970	
MAPK1	1495	5594	GuideToPharmacologyInteractions	inhibitor	9229	RAVOXERTINIB			
ARAF	ARAF	369	MyCancerGenome	inhibitor	LGX818	LGX818	ENCORAFENIB	CHEMBL3301612	
GGCX	TTDS00486	2677	TTD	inhibitor	DAP001274	ANISINDIONE	ANISINDIONE	CHEMBL712	
PSMD14	POH1	10213	ChemblInteractions	inhibitor	CHEMBL451887	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
PPARG	TTDS00338	5468	TTD	agonist	DAP000271	ROSIGLITAZONE	ROSIGLITAZONE	CHEMBL121	
CYSLTR2	270	57105	GuideToPharmacologyInteractions	agonist	6194	N-METHYL LTC4	URACIL MUSTARD	CHEMBL1488	
PIK3R1	GRB1	5295	ChemblInteractions	inhibitor	CHEMBL3545324	RG-7666	RG-7666	CHEMBL3545324	
HCRTR1	321	3061	GuideToPharmacologyInteractions	agonist	9305	COMPOUND 26 [PMID: 26267383]	DIOTYROSINE	CHEMBL1236469	
ADRB2	29	154	GuideToPharmacologyInteractions	agonist	9512	SOLABEGRON	SOLABEGRON	CHEMBL208427	
SSTR1	355	6751	GuideToPharmacologyInteractions	agonist	2010	"DES-ALA1,2,5-[D-TRP8,IAMP9]SRIF"			
PIK3CD	2155	5293	GuideToPharmacologyInteractions	inhibitor	7955	ALPELISIB	ALPELISIB	CHEMBL2396661	
SCN5A	SCN5A	6331	ChemblInteractions	blocker	CHEMBL1201729	DRONEDARONE HYDROCHLORIDE	DRONEDARONE HYDROCHLORIDE	CHEMBL1201729	
GRM3	291	2913	GuideToPharmacologyInteractions	antagonist	1378	LY341495	CHEMBL432038	CHEMBL432038	
KCNJ4	432	3761	GuideToPharmacologyInteractions	channel blocker	2390	SPERMIDINE	SPERMIDINE	CHEMBL19612	
VEGFA	TTDS00339	7422	TTD	inhibitor	DCL000495	BEVACIZUMAB+ERLOTINIB			
CA2	TTDS00306	760	TTD	inhibitor	DAP000604	CYCLOTHIAZIDE	CYCLOTHIAZIDE	CHEMBL61593	
IFNAR2	1898	3455	GuideToPharmacologyInteractions	agonist	4965	IFN-α7			
AVPR1A	366	552	GuideToPharmacologyInteractions	antagonist	2222	"D(CH2)5[TYR(ME)2,THR4]OVT"			
MT-ND4	MTND4	4538	ChemblInteractions	inhibitor	CHEMBL1703	METFORMIN HYDROCHLORIDE	METFORMIN HYDROCHLORIDE	CHEMBL1703	
PTGER4	343	5734	GuideToPharmacologyInteractions	antagonist	1952	EP4A	CHEMBL265012	CHEMBL265012	
CDK2	1973	1017	GuideToPharmacologyInteractions	inhibitor	9375	VTX-11E			
QRFPR	333	84109	GuideToPharmacologyInteractions	agonist	3665	QRFP43			
GRIN2C	458	2905	GuideToPharmacologyInteractions	antagonist	4078	[3H]CGP39653	MESORIDAZINE	CHEMBL1088	
PTGS2	COX2	5743	ChemblInteractions	inhibitor	CHEMBL599	MELOXICAM	MELOXICAM	CHEMBL599	
HTR1A	1	3350	GuideToPharmacologyInteractions	antagonist	62	(+)-BUTACLAMOL	CHEMBL1255588	CHEMBL1255588	
HDAC3	HDAC3	8841	TALC	inhibitor	CUDC-101	CUDC-101	CUDC-101	CHEMBL598797	
TUBB2B	TUBB2B	347733	ChemblInteractions	inhibitor	CHEMBL1742994	BRENTUXIMAB VEDOTIN	BRENTUXIMAB VEDOTIN	CHEMBL1742994	
APEH	2328	327	GuideToPharmacologyInteractions	inhibitor	8563	ARI-3099			
CA12	2747	771	GuideToPharmacologyInteractions	inhibitor	7046	INDISULAM	INDISULAM	CHEMBL77517	
BTK	1948	695	GuideToPharmacologyInteractions	inhibitor	8145	COMPOUND 38 [PMID: 24915291]			
TRPM7	499	54822	GuideToPharmacologyInteractions	activator	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
EDNRA	ETA	1909	ChemblInteractions	antagonist	CHEMBL1111	AMBRISENTAN	AMBRISENTAN	CHEMBL1111	
OXER1	271	165140	GuideToPharmacologyInteractions	allosteric modulator	6173	GUE1654			
MT-ND2	MTND2	4536	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
TRPM2	494	7226	GuideToPharmacologyInteractions	channel blocker	2447	FLUFENAMIC ACID	FLUFENAMIC ACID	CHEMBL23588	
CCR4	61	1233	GuideToPharmacologyInteractions	agonist	3653	[125I]CCL27 (HUMAN)	HYDROXYPROGESTERONE CAPROATE	CHEMBL1200848	
ADORA3	21	140	GuideToPharmacologyInteractions	antagonist	5617	LAS38096	CHEMBL375293	CHEMBL375293	
ADRA1A	ADRA1C	148	ChemblInteractions	agonist	CHEMBL2062264	PHENYLEPHRINE BITARTRATE	PHENYLEPHRINE BITARTRATE	CHEMBL2062264	
CRHR2	TTDC00074	1395	TTD	antagonist	DCL000256	UROCORTIN 2	WORTMANNIN	CHEMBL428496	
SSTR2	SSTR2	6752	ChemblInteractions	agonist	CHEMBL2103975	VAPREOTIDE	VAPREOTIDE	CHEMBL2103975	
HCRTR1	HCRTR1	3061	ChemblInteractions	antagonist	CHEMBL1272307	SB-649868	SB-649868	CHEMBL1272307	
PSEN1	2402	5663	GuideToPharmacologyInteractions	inhibitor	6978	SEMAGACESTAT	SEMAGACESTAT	CHEMBL520733	
ADORA1	18	134	GuideToPharmacologyInteractions	antagonist	3283	SCH442416	CHEMBL136689	CHEMBL136689	
HTR1B	2	3351	GuideToPharmacologyInteractions	agonist	56	TERGURIDE	TERGURIDE	CHEMBL73151	
PIK3C2G	PIK3C2G	5288	MyCancerGenome	inhibitor	GDC-0980	GDC-0980	APITOLISIB	CHEMBL1922094	
CHRNA7	TTDS00520	1139	TTD	binder	DCL001014	TC-1698			
AKT1	1479	207	GuideToPharmacologyInteractions	allosteric modulator	7945	MK-2206	MK-2206	CHEMBL1079175	
SRC	SRC1	6714	ChemblInteractions	inhibitor	CHEMBL24828	VANDETANIB	VANDETANIB	CHEMBL24828	
CDK1	CDK1	983	CancerCommons	inhibitor	BAY1000394	BAY1000394	Roniciclib	CHEMBL3544942	
MMP9	1633	4318	GuideToPharmacologyInteractions	antibody	9510	ANDECALIXIMAB	ANDECALIXIMAB	CHEMBL3833374	
IL17A	CTLA8	3605	ChemblInteractions	inhibitor	CHEMBL1743068	SECUKINUMAB	SECUKINUMAB	CHEMBL1743068	
TUBA1C	TUBA6	84790	ChemblInteractions	inhibitor	CHEMBL378544	VINBLASTINE SULFATE	VINBLASTINE SULFATE	CHEMBL378544	
SCN9A	NENA	6335	ChemblInteractions	blocker	CHEMBL16	PHENYTOIN	PHENYTOIN	CHEMBL16	
GUCY1B2	GUCY1B2	2974	ChemblInteractions	activator	CHEMBL6622	ISOSORBIDE DINITRATE	ISOSORBIDE DINITRATE	CHEMBL6622	
FLT4	FLT4	2324	MyCancerGenomeClinicalTrial	inhibitor	SORAFENIB TOSYLATE	SORAFENIB TOSYLATE	SORAFENIB TOSYLATE	CHEMBL1200485	
GPR17	88	2840	GuideToPharmacologyInteractions	agonist	5519	ASN04450772	CHEMBL1466483	CHEMBL1466483	
MAP2K2	MEK2	5605	ChemblInteractions	inhibitor	CHEMBL2138601	Refametinib	Refametinib	CHEMBL2138601	
PIK3R6	PIK3R6	146850	MyCancerGenomeClinicalTrial	inhibitor	PKI-587	PKI-587	GEDATOLISIB	CHEMBL592445	
CCKAR	TTDC00082	886	TTD	agonist	DCL000119	GI 181771	CHEMBL1269257	CHEMBL1269257	
SOST	SOST	50964	ChemblInteractions	inhibitor	CHEMBL1742993	BLOSOZUMAB	BLOSOZUMAB	CHEMBL1742993	
GJD4	727	219770	GuideToPharmacologyInteractions	inhibitor	4151	CARBENOXOLONE	CARBENOXOLONE	CHEMBL499915	
ZACN	587	353174	GuideToPharmacologyInteractions	antagonist	707	CA2+	cA2	CHEMBL2109588	
CCKBR	TTDS00043	887	TTD	agonist	DAP000961	CERULETIDE	CERULETIDE	CHEMBL1201355	
ADORA1	18	134	GuideToPharmacologyInteractions	agonist	6560	5-CL-5-DEOXY-(±)-ENBA			
DRD3	DRD3	1814	ChemblInteractions	inverse agonist	CHEMBL1200986	HALOPERIDOL DECANOATE	HALOPERIDOL DECANOATE	CHEMBL1200986	
MCHR1	TTDC00133	2847	TTD	antagonist	DPR000071	MCH ANTAGONIST			
YES1	2284	7525	GuideToPharmacologyInteractions	inhibitor	9173	REBASTINIB	REBASTINIB	CHEMBL1738757	
C1S	TTDC00085	716	TTD	inhibitor	DCL000629	ROMIPLOSTIM	ROMIPLOSTIM	CHEMBL1201832	
VIPR1	371	7433	GuideToPharmacologyInteractions	agonist	2278	"[ALA11,22,28]VIP"			
HDAC7	HDAC7	51564	ChemblInteractions	inhibitor	CHEMBL235191	TACEDINALINE	TACEDINALINE	CHEMBL235191	
GABRB3	GABRB3	2562	ChemblInteractions	positive allosteric modulator	CHEMBL2096631	CLORAZEPATE DIPOTASSIUM	CLORAZEPATE DIPOTASSIUM	CHEMBL2096631	
TEK	TIE2	7010	ChemblInteractions	inhibitor	CHEMBL3545120	CE-245677	CE-245677	CHEMBL3545120	
TAAR1	364	134864	GuideToPharmacologyInteractions	antagonist	5457	EPPTB	CHEMBL1669669	CHEMBL1669669	
PCSK6	2386	5046	GuideToPharmacologyInteractions	inhibitor	8658	PEPTIDE 18 [PMID: 24350995]			
BDKRB1	BRADYB1	623	ChemblInteractions	antagonist	CHEMBL3545386	BI113823	BI113823	CHEMBL3545386	
PIM2	2159	11040	GuideToPharmacologyInteractions	inhibitor	8214	COMPOUND 14K [PMID: 21982499]			
GRM4	292	2914	GuideToPharmacologyInteractions	allosteric modulator	1416	PHCCC			
OPRM1	319	4988	GuideToPharmacologyInteractions	antagonist	1631	β-FNA			
ACE2	1614	59272	GuideToPharmacologyInteractions	inhibitor	6555	COMPOUND 28 [PMID: 18324760]	CHEMBL260273	CHEMBL260273	
SERPINC1	TTDS00467	462	TTD	cofactor	DAP001434	TINZAPARIN			
GRM6	294	2916	GuideToPharmacologyInteractions	agonist	3359	HOMO-AMPA			
PDE4D	DPDE3	5144	ChemblInteractions	inhibitor	CHEMBL932	DIPYRIDAMOLE	DIPYRIDAMOLE	CHEMBL932	
OSGIN2	734	734	GuideToPharmacologyInteractions	inhibitor	4278	OCTANOL	OCTANOL	CHEMBL26215	
VIPR2	372	7434	GuideToPharmacologyInteractions	agonist	2275	PHV	CHEMBL525028	CHEMBL525028	
IRAK1	2042	3654	GuideToPharmacologyInteractions	inhibitor	8085	COMPOUND 7 [WO2012007375]			
PRKCG	1484	5582	GuideToPharmacologyInteractions	inhibitor	7907	7-HYDROXYSTAUROSPORINE	CHEMBL1236539	CHEMBL1236539	
GABRA1	GABRA1	2554	ChemblInteractions	positive allosteric modulator	CHEMBL1201065	THIAMYLAL SODIUM	THIAMYLAL SODIUM	CHEMBL1201065	
GABRA1	TTDS00403	2554	TTD	antagonist	DAP000668	BUTALBITAL	BUTALBITAL	CHEMBL454	
