,cna_alk,cna_tp53,cna_egfr,cna_kras,cna_stk11,cna_keap1,rna_alk,rna_tp53,rna_egfr,rna_kras,rna_stk11,rna_keap1,prot_alk,prot_tp53,prot_egfr,prot_kras,prot_stk11,prot_keap1,phos_alk,phos_tp53,phos_egfr,phos_kras,phos_stk11,phos_keap1
ENSG00000011600.11,,0.031063091,0.113079297,,0.402664231,0.068574498,,,,,,,,,,,,,,,,,,
ENSG00000011638.10,0.251645978,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000011677.12,,0.031136029,0.008705683,,,,,,,,,,,,,,,,,,,,,
ENSG00000012048.20,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000012061.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000012124.16,,0.031063091,0.113079297,,0.402664231,0.068574498,,,,,,,,,,,,,,,,,,
ENSG00000012171.19,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000012174.11,0.019260707,0.422234492,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000012211.12,0.259165867,0.422234492,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000012223.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000012504.13,,,,0.113356145,8.37E-05,,,,,,,,,,,,,,,,,,,
ENSG00000012660.13,,0.013173105,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000012779.10,,,,,,0.012028399,,,,,,,,,,,,,,,,,,
ENSG00000012822.15,,0.422234492,,,0.001758719,0.175069174,,,,,,,,,,,,,,,,,,
ENSG00000012963.14,0.274501897,0.257614575,0.64298606,,0.049670778,,,,,,,,,,,,,,,,,,,
ENSG00000012983.11,0.352235344,0.043518531,,0.490936559,0.026572056,0.522257742,,,,,,,,,,,,,,,,,,
ENSG00000013016.15,,,,0.078178141,0.008294861,,,,,,,,,,,,,,,,,,,
ENSG00000013275.7,,0.257614575,0.293873755,,0.25077402,0.32698951,,,,,,,,,,,,,,,,,,
ENSG00000013288.8,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000013293.5,,0.208562717,,,0.120127345,,,,,,,,,,,,,,,,,,,
ENSG00000013297.10,,0.208562717,,,0.120127345,,,,,,,,,,,,,,,,,,,
ENSG00000013306.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000013364.18,0.228052613,,0.137467013,,,,,,,,,,,,,,,,,,,,,
ENSG00000013374.15,,0.004639878,,,,,,,,,,,,,,,,,,,,,,
ENSG00000013375.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000013392.7,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000013441.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000013503.9,,,,0.078178141,2.19E-05,,,,,,,,,,,,,,,,,,,
ENSG00000013523.9,0.321418854,0.297256913,0.537115355,,0.120127345,,,,,,,,,,,,,,,,,,,
ENSG00000013561.17,0.001053473,,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000013563.13,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000013573.16,0.632617861,0.422234492,0.469406788,,0.225967205,0.53182132,,,,,,,,,,,,,,,,,,
ENSG00000013583.8,,,,,0.003492603,,,,,,,,,,,,,,,,,,,
ENSG00000013588.7,,,,,0.003492603,,,,,,,,,,,,,,,,,,,
ENSG00000013619.13,,0.051087789,0.00734663,,,,,,,,,,,,,,,,,,,,,
ENSG00000013725.14,0.202554506,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000013810.18,,,0.020077311,,,,,,,,,,,,,,,,,,,,,
ENSG00000014123.9,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000014138.8,0.274501897,0.698217365,0.64298606,,0.25077402,,,,,,,,,,,,,,,,,,,
ENSG00000014164.6,,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000014216.15,0.259165867,,,,0.140005705,,,,,,,,,,,,,,,,,,,
ENSG00000014257.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000014641.17,,0.422234492,,0.295549325,0.055838366,0.53182132,,,,,,,,,,,,,,,,,,
ENSG00000014824.13,,0.208562717,,,,,,,,,,,,,,,,,,,,,,
ENSG00000014914.20,,,,,,0.061621446,,,,,,,,,,,,,,,,,,
ENSG00000014919.12,,,,,0.010038678,,,,,,,,,,,,,,,,,,,
