gene	lung_mean_CRISPR
FARSB	-1.848027135
ABCC5	0.134590772
ABCB6	-0.051398335
DNM1L	-0.839729135
CDH8	0.266410702
ABCC9	-0.007263686
ABCF2	-0.15321798
NR1H3	0.167131675
COX17	-0.874801025
LOC100630923	
FAM47E-STBD1	
LOC100652833	
ALOX15P1	
LOC100653049	
SCAMP2	0.021760945
SCAMP3	0.026037283
IL18BP	-0.094293023
RWDD2B	0.098205471
MUC12	0.089413033
DPP3	-0.134634498
SNUPN	-0.941625253
HUWE1	
PTPRU	-0.322017858
TSPAN32	0.151107232
TSSC4	0.075569449
ATP9A	-0.066189152
CDH10	0.144425641
PDCD7	-0.563247534
GPC6	-0.125011013
MYZAP	0.155268616
USH1C	0.231076862
PQBP1	
EDIL3	-0.199675714
HHLA1	
FSBP	0.014384699
CYP3A7-CYP3A51P	
COL4A3BP	-0.170791857
MRPS31P5	
KCNK7	-0.133563532
CDH11	0.119198927
UST	0.017668261
APOBEC3A_B	
ARPC5	-0.203358965
ARPC4	-0.724573345
ARPC3	-0.649844766
ARPC1B	0.13481582
ACTR3	-0.442385253
ACTR2	-1.156160877
TSPAN5	0.049514629
TSPAN3	0.099753971
FAM106B	
POTEB	0.109670946
LOC100996337	
LOC100996401	
LOC100996415	
FAM74A7	
LOC100996643	
SRGAP2D	
LOC100996724	
LOC100996747	
NPY4R2	
LOC100996792	
C7orf55-LUC7L2	
ADAM8	0.184698023
CDH12	-0.079250215
TSPAN2	-0.01665628
TSFM	-0.727631007
TSPAN1	-0.131506632
PPIF	-0.044671406
CTDSP2	-0.309097305
TBC1D3G	
TBC1D3K	
TBC1D3L	
TBC1D3D	
LOC101060696	
TRIM10	-0.142052174
ARPC2	-0.488343094
SGK2	0.143562033
RAD50	-0.247056611
KIF20A	-0.52889217
PREB	-0.846667375
HIPK3	0.047911095
ENAM	0.024923194
IPO11-LRRC70	
CDH13	0.168221969
ACTR1B	-0.602921017
ACTR1A	-1.051580588
ARL4C	-0.07743254
ARL4A	-0.045052002
ZNF263	-0.064421685
LRPPRC	-0.841701712
FRY	0.074906114
CDH15	-0.322544654
PDIA6	0.090198273
TRAP1	-0.062908564
OPTN	0.077940175
NAMPT	-0.255759843
CELA3A	0.001971273
RBM12	-0.250476455
YAF2	-0.345048334
ARFRP1	-0.742710087
CDH16	0.007810318
TOB1	-0.026761615
LINC01587	
AKAP9	0.013438985
CLEC3A	0.134583589
FAM13A	0.126973361
G3BP1	-0.009540827
SUGP2	-0.282848719
EBI3	-0.282210284
ADGRG2	
CDH17	-0.027582936
MBNL2	0.065557533
HNRNPA3P1	
ABI2	0.095055411
CEBPZ	-0.892315597
PLXNC1	-0.039384117
TRIM28	-0.258082936
RASA4	-0.219079425
AASS	0.153327518
PDZK1IP1	-0.400040714
ATP6AP2	
CDH18	-0.062113315
LPAR6	-0.02444015
LPCAT3	-0.220721575
WASF2	-0.161458646
CHST4	-0.318116043
SLC25A13	-0.118221501
SLC25A15	-0.007165803
SERF2	-0.43402303
CDK2	-0.828702592
DHRS9	0.090704565
ZNF256	-0.010990574
SPECC1L-ADORA2A	
SORBS3	0.050965817
CNIH1	-0.215744292
STAG3L5P-PVRIG2P-PILRB	
TENM1	
RBM7	-0.062564264
RBM6	-0.115235156
RBM5	-0.397790269
LHFPL2	0.031891786
LHFPL6	
TNK2	0.122659205
ALYREF	-0.664682716
CDK4	-0.633043519
TXNDC9	-0.180514413
LOC101926889	
LOC101926969	
LOC101927060	
LOC101927562	
LOC101928208	
LOC101928635	
LOC101928879	
LOC101929141	
LOC101929322	
FANCD2P2	
LOC101929540	
LOC101929599	
LOC101929748	
LOC101929775	
NBPF25P	
LOC101929796	
LOC101929829	
LOC101929876	
LOC101929894	
LOC101929950	
LOC101929970	
RNF41	-0.317456182
LOC101930006	
LOC101930105	
LOC101930665	
TSHZ1	0.271787045
ALG3	0.024804246
PRMT3	0.020594693
PSME3	-0.287389877
MPHOSPH9	-0.087245128
MPHOSPH10	-0.999387329
ADAM10	-0.023958252
CDK5	-0.073488646
MPHOSPH6	-0.310727235
NME6	-0.340657639
DHRS2	-0.034869714
CALCRL	-0.003108576
NUTF2	-1.253856721
MPZL2	0.077588742
TRIM13	0.036609077
PATJ	
USPL1	-1.056856598
EIF1	-0.738972091
CDK6	-0.598729335
TOPORS	-0.058067591
FLOT1	-0.368713157
DDX39A	-0.345437591
PSMD14	-1.874444626
SSX3	
OLIG2	0.127817988
CTDSPL	0.260840689
ANGPTL7	-0.080531033
KLRG1	0.085256599
CDK7	-1.737997011
GDF11	-0.2500915
TRIB1	-0.120358653
GPA33	-0.05397981
ZNF443	0.215559446
CD96	-0.024608741
PLIN3	-0.236763415
MFSD10	-0.009679482
STX6	0.012710286
C11orf98	
COQ7	-0.465105964
NBR2	
RCAN2	-0.037691972
MSLN	-0.006615403
LRRC23	0.003704686
RASGRP2	-0.276441323
HNRNPR	-0.539465845
SLC35B1	-0.782160683
DCAF7	
AP3S2	-0.137034814
CDK8	-0.214356558
MRPS31	-0.709945179
CALCOCO2	-0.045266941
KCNMB2	0.008685152
GPHN	-0.028808755
RABEPK	-0.13614493
SLC17A2	0.010595862
RIDA	
POP7	-0.685980772
GLYAT	0.022173781
CDK9	-1.289567505
SRRM1	-1.036878471
SPRY1	0.055472948
SPRY2	0.171113943
STAM2	-0.17505196
CNKSR1	0.057219605
ABCC4	0.057119624
CDKN1A	0.226330456
IGSF6	0.062969707
SF3B4	-1.617151373
CDK2AP2	-0.31472742
IRX5	0.029490347
RAMP2	-0.093272119
RAMP1	-0.080219427
RAMP3	0.126037109
ZMPSTE24	-0.013018332
CDKN1B	-0.01154258
AKAP8	-0.103062962
FSTL3	0.088808276
KANTR	
ANKRD20A21P	
LOC102723728	
CT45A8	
LOC102723753	
SPDYE17	
TBC1D3E	
LOC102723897	
LOC102723996	
LOC102724159	
LOC102724184	
LOC102724197	
LOC102724229	
LOC102724250	
SVIL-AS1	
LOC102724334	
LOC102724428	
LOC102724562	
LOC102724642	
LOC102724788	
TBC1D3I	
LOC102724865	
LOC102724984	
LOC102725035	
LOC102725070	
LOC102725117	
LOC102725241	
STUB1	-0.30806063
STAG1	-0.177295967
NET1	-0.070269958
UBE4B	-0.423248611
PRSS16	0.13375955
CDKN1C	0.019236908
SIGMAR1	-0.282437951
LOC400927-CSNK1E	
DSCR4	-0.122773806
BET1	-0.457565882
CWC27	0.074048749
SAP18	-1.304331621
SMNDC1	-1.023084552
BCAS2	-0.723850167
RGS19	-0.040639517
LILRB2	-0.171909573
EIF1B	-0.124308377
CDKN2A	-0.054075461
SPEG	0.023631633
SF3A1	-1.814558293
TRAIP	-1.105072725
DNAJA2	-0.008913447
BCKDK	-0.05406008
MAEA	-0.425066985
APC2	-0.12288689
PAK4	-0.092201854
6-Mar	-0.171264824
ADAR	-0.413971611
CDKN2B	0.087123255
KATNB1	-0.594008247
DLEU1	
SNAPC5	-1.468725114
LOC103021295	
APBB3	-0.130210877
ZNF267	0.216177472
CCNO	0.028953277
CDKN2C	0.277361184
DSCR3	-0.108153676
TCIRG1	-0.143719187
RTN3	-0.269136729
LANCL1	-0.030074271
NMUR1	-0.029776675
B3GALT5	0.265384634
TNIP1	-0.054975808
LAMC3	-0.09636145
CDKN2D	-0.014698142
IKZF1	0.151471693
CRISP3	0.06323991
SMYD5	-0.169647909
KLHL41	0.039025745
RRAGB	
SIRPB1	0.079226771
AKR1A1	-0.093185206
EMC8	-0.052605058
TMEM5	-0.03641737
CDKN3	-0.013977399
CNPY2	-0.337516217
B3GNT3	-0.375735438
CLEC4M	0.230371798
TLR6	-0.008466176
MRVI1	0.153494432
PCGF3	-0.18309475
TFG	-0.208236389
PKDREJ	-0.072077256
CCL26	-0.17443118
TRDN	0.087080331
TRIM22	0.037500628
ABCA7	0.084187446
ABCA10	0.202026435
ABCA9	0.157720765
ABCA8	-0.064579581
WARS2	-0.403495584
CDO1	0.084289394
NPM3	-0.46244419
NPM2	0.073933448
HMG20B	0.14740607
HMG20A	0.063711745
KLF2	0.008067235
MICU1	0.066463068
CACNG3	-0.038720877
CACNG2	-0.053213342
CITED2	-0.061867964
SEMA3A	0.038957814
TUBA1B	-0.59261622
IRF9	-0.036353416
CDR1	
BPNT1	-0.330329563
TUBB3	-0.035406492
TUBB4A	-0.307717668
TUBB4B	-0.31935452
BTN3A3	0.048699744
BTN2A2	0.100352732
SYCP2	0.112401042
SCML2	
CEPT1	-0.287191146
CORO2B	0.055148474
MYL12B	-0.112949098
NOD1	-0.070040177
ANAPC10	-0.586490988
PRG3	-0.064525195
ATP8A1	0.085639551
NDRG1	0.030294516
MYL9	-0.261353599
RACK1	
ADARB1	-0.023553247
CDS1	-0.08302498
PEMT	-0.020218441
PIAS3	-0.270858182
ST3GAL6	-0.093462001
NDC80	-1.41370451
CPQ	-0.22333596
WFDC2	0.084564684
SPAG11B	0.031978383
BASP1	0.21057428
CDSN	-0.102721773
IFITM3	-0.96160355
RAPGEF3	0.159454544
NSA2	-1.085800831
YAP1	-0.343135313
SPON2	0.082354822
SPON1	
PRMT5	-1.262897394
TESK2	0.064765223
CD2BP2	-0.496867717
UBAC1	0.074403614
CDIPT	-1.093344609
PGRMC2	-0.15428637
ARIH2	0.030417401
TUBGCP3	-1.045233924
SEC24B	-0.031343775
CFDP1	-0.690380508
CD52	0.006017325
TMEM147	-0.162618589
RBM14	-1.097288688
LYPLA1	-0.075085325
CDC42EP2	-0.273857034
EMG1	
IFI30	-0.201646784
C1D	-0.531217555
CDX1	0.147917292
TIMM17A	-0.40910572
N4BP2L2	-0.032552724
ZER1	-0.230278012
MCRS1	-0.487044231
LRRN2	-0.013262432
FAM3C	0.35995888
ACAA2	-0.145251858
CDX2	-0.186398906
PPIE	-0.80996841
VAV3	-0.033070287
TOMM40	-1.161892792
TAB1	0.039892763
ECI2	-0.031266055
HAX1	-0.489886872
GPNMB	0.10975179
BAIAP2	-0.141831109
MAD2L2	-1.350246446
CDX4	
TACC3	-0.624790324
MERTK	-0.154349
CLEC10A	0.121983996
SLC30A9	-0.298090756
PPIH	-0.693638239
COG5	-0.205099528
ZNHIT1	-0.444940454
FST	-0.152880993
TIMM44	-0.926719017
CLGN	0.054171634
PFDN6	-1.23550092
ZBTB18	-0.029804258
HMGN4	0.265228786
TADA3	-0.626935561
TRIM38	-0.086052394
ATP5H	-0.231330068
UBE2E3	-0.262168846
SLC25A17	-0.157070513
SLC9A6	
CEACAM5	0.149970105
EIF3M	-1.180473312
HOXB13	0.070698941
NXF1	-1.080816842
SEC23B	-0.044695975
SEC23A	-0.050949226
CAP2	0.180140632
CAP1	-0.704722833
CREB3	-0.258534015
LRRC41	-0.133289449
VTI1B	-0.327687468
CRTAP	0.012244075
SYNCRIP	-0.366471138
STK25	-0.050531125
ENOX2	
UNC13B	-0.120568459
CARM1	-0.373504235
NCOA2	0.236271951
ADARB2	0.103089865
CEBPA	-0.266351503
SEMA6B	-0.312213288
SEMA4F	-0.058264891
SEMA4D	0.052011906
SEMA4B	0.009487776
CEBPB	-0.267983557
SEMA3C	-0.036593671
APPBP2	0.069125001
MYBBP1A	-0.824313141
FBLN5	0.036943247
FBXW10	0.097129507
CIB2	-0.001801294
CIB1	0.109083436
CEBPD	-0.080364277
ZNF211	0.222839284
DDX17	-0.284731065
DEAF1	0.017695123
CHERP	-1.308062492
KAT5	-0.816399665
HYOU1	-1.33358696
IPO8	0.078355241
IPO7	-1.060119355
NOP56	-1.338177802
NEBL	0.002763934
CEBPE	-0.285398202
PITRM1	-0.3851352
ATG7	0.095843759
SSSCA1	-0.324337446
RNASEH2A	-0.448485251
P3H3	
PKD1P6-NPIPP1	
LOC105369189	
LOC105369233	
LOC105369239	
LOC105369244	
LOC105369247	
LOC105369252	
LOC105369254	
LOC105369273	
LOC105369347	
LOC105369520	
UBD	0.04616631
LOC105370099	
LOC105370978	
LOC105371137	
LOC105371242	
LOC105371814	
ERVK3-1	
LOC105372824	
LOC105373388	
LOC105374601	
LOC105374925	
LOC105375262	
UPK3B	0.212398667
LOC105376114	
LOC105376361	
LOC105376839	
LOC105376957	
LOC105377605	
LOC105378260	
LOC105378433	
LOC105379426	
LOC105379511	
LOC105379562	
LOC105379650	
BATF	0.109230086
GLRX3	-0.529312712
CEBPG	-0.022024669
DCTN2	-0.910853621
ANP32B	-0.066257623
LAMTOR5	-0.007058361
PROCR	-0.038297204
TM9SF1	-0.064429147
PRDX4	
ARL6IP5	-0.159449199
AGR2	-0.005398542
ARPC1A	-0.013324762
HTATIP2	0.034552322
AGPAT1	-0.090381628
AGPAT2	-0.066371861
RPP30	-1.21038738
RPP38	-0.617897441
SPTLC1	-0.660097221
SLC35A1	-0.212690889
CEL	0.020363874
SLC19A2	0.052513333
IFI44	-0.126102709
OLFM4	-0.188070935
CXCL13	0.114232138
ARFGEF1	-0.152538145
AKAP3	0.014558204
RABAC1	-0.218696845
SLC34A2	0.212729949
SLU7	-1.306397928
DPYSL4	0.02080259
SIVA1	-0.364135625
MRPL28	-0.654950342
CCT7	-0.592875112
CCT4	-1.584986002
CCT2	-1.27002618
NPC2	0.042747296
GNLY	-0.095534189
TACC2	-0.053275359
CENPA	-0.996259066
SORBS1	0.159028706
IFITM2	-0.773461455
COLEC10	0.132868626
POMT1	-0.156008486
MAB21L2	0.095069483
TXNRD2	-0.175018745
DRAP1	-0.53458858
CENPB	-0.093067921
SCGN	0.101603931
DNPH1	-0.014026281
SMC2	-1.498569243
PRPF8	-1.670369838
ERN2	-0.0672237
TRAPPC2B	
AHSA1	-0.15887962
SLCO1B1	0.190250201
CENPC	-0.746154609
USP16	-0.062653366
CDC42EP3	0.049886587
SH2B2	
PAIP1	0.058100675
PAICS	-0.57991722
TBL3	-1.000900334
MXD4	0.027932811
P3H4	
ST6GALNAC2	-0.019855039
PDLIM5	0.302682195
TRIM3	0.121292938
HEXIM1	-0.332414138
SPAG5	-0.468936208
RBCK1	0.085821888
STAMBP	-0.441162857
TGOLN2	-0.186687598
CENPE	-0.618787644
ARID3B	-0.303070557
POLR3F	-1.197023786
POLR3G	-0.102831774
POLR3C	-0.867295739
IVNS1ABP	-0.018183932
TRIM16	0.039473073
MYL12A	-0.212546631
TXNIP	0.156052796
CENPF	-0.339266394
PDPN	0.093897319
POSTN	0.030097682
ATP5L	-0.482847855
RASL10A	-0.251961771
GAS2L1	0.121448999
RAD51AP1	0.122381064
RGS14	-0.104651623
LEFTY1	-0.114522121
SPHAR	0.140799244
EXOC5	-0.546957767
NPRL2	0.061602794
IGF2BP1	-0.06740262
IGF2BP3	-0.277065663
IGF2BP2	-0.28418232
CAMKK2	-0.356646203
SCGB1D2	-0.148079164
SCGB1D1	-0.271078542
PRELID3A	
MTX2	-0.156214649
YKT6	-1.360911964
SPINT2	-0.174071175
PMVK	-0.636678127
DMRT2	0.479669477
KHDRBS3	-0.115343158
KHDRBS1	-0.247060379
CELF1	-0.238547825
CELF2	-0.169495131
CES1	-0.02932849
LBX1	-0.012288627
KLF1	-0.26522749
CTCF	-1.516336968
C6orf10	0.031816448
CD226	0.222511767
LINC00680	
FARS2	-0.743802117
CGRRF1	-0.067326819
CGREF1	0.202055695
RRAGA	-0.511771582
DCTN6	-1.260868221
GNA13	0.013074706
TNFSF13B	0.027600924
CSPG5	-0.161484485
AVIL	-0.188450911
B3GNT2	-0.1821742
CETN1	0.084263028
GNB5	0.043357404
EBP	
DLL3	-0.118907791
CLDN16	0.090732043
WRB-SH3BGR	
PNMA2	0.07436062
CETN2	
FUT9	0.045543399
GMEB1	-0.078670234
RRH	0.151741517
CCT6B	-0.116202165
CCT8	-0.936552283
CNPY3	-0.003746315
CORIN	-0.04174188
ADCY1	0.088923521
CETN3	-0.053189822
TBC1D7-LOC100130357	
CNPY3-GNMT	
CETP	-0.099261554
FAM189B	-0.318951417
USP39	-0.575061305
POLD3	-1.571586632
TBR1	0.061083547
AP4B1	0.008553523
NRG3	-0.048558796
CFL1	-0.682952831
UGT2B11	-0.314359779
POLQ	-0.463727313
SLC12A7	0.025331526
MGEA5	-0.262286501
NFAT5	0.023541569
NUDC	-0.925052578
PTGES3	-0.105372504
CFL2	-0.015494695
YME1L1	-0.417031358
SETDB2-PHF11	
TCFL5	-0.196780032
PLK4	-1.031066203
STAG3	-0.010021478
STAG2	
SIX2	0.077218108
RFPL3	-0.067352322
RFPL2	-0.021937193
RBBP9	0.026384003
RAI2	
RAI1	-0.033723132
PTTG2	0.077892004
PHTF1	-0.135056766
MAP3K2	-0.142693501
MASP2	-0.21556645
KLRA1P	
KIF1C	0.041761109
CTSC	0.169087561
GRAP	-0.027186107
CAPN9	-0.33039584
GIPC1	0.023374976
TRAF3IP2	0.068765342
PLAC1	
NUP50	-0.367148155
NES	-0.288232625
KDM5B	0.09155141
TOB2	0.144969184
HBS1L	-0.160726558
AHCYL1	-0.502083324
PLK2	0.004303869
ZMYND11	0.097822079
SRSF10	-0.837090751
ZBTB6	-0.032056689
POP4	-0.598854098
ARPP19	-0.304727398
ARPP21	0.111636237
ZNF234	0.048041556
ZNF266	-0.060564066
ZNF274	
NEK6	-0.297319022
WDR4	-0.499749214
SLC17A3	0.089111757
NCKAP1	-0.617680091
IQGAP2	0.120097843
VAMP5	0.449553509
ZNF273	-0.227209913
ZNF460	-0.096658163
ZNF268	0.088967413
MTHFD2	0.009375014
OR5I1	0.149093028
LOC107983965	
UPK3BL2	
LOC107984021	
LOC107984026	
LOC107984050	
LOC107984054	
LOC107984055	
LOC107984056	
LOC107984058	
LOC107984065	
LOC107984067	
LOC107984086	
LOC107984090	
LOC107984099	
LOC107984110	
LOC107984126	
LOC107984289	
LOC107984562	
LOC107984838	
LOC107984873	
LOC107985117	
LOC107985332	
LOC107985636	
LOC107986078	
LOC107986102	
LOC107986383	
LOC107986810	
CZ1P-ASNS	
REXO1L5P	
LOC107986988	
LOC107987005	
LOC107987163	
LOC107987188	
LOC107987397	
LOC107987423	
LOC107987433	
LOC107987438	
LOC107987461	
LOC107987462	
LOC107987587	
RPP40	-1.26001362
ADCY2	0.146762467
CFTR	0.042916116
CYSLTR1	
9-Sep	-0.230074679
CCR9	0.094551541
GJB6	-0.173548178
SDCCAG8	0.119731628
SDCCAG3	-0.114394138
HSPH1	-0.062665176
STARD10	0.062154868
CGA	0.172161946
WASF3	-0.110409859
NOXA1	-0.175024186
UTP14A	
CPLX2	0.156507501
CPLX1	0.185251634
SPINT3	0.027983277
FRS3	-0.257399018
FRS2	0.08701698
NEU3	-0.113495849
FAXDC2	0.186183799
FAM114A2	0.032444515
ZNF275	
CEACAM3	-0.044691129
ALDH1L1	-0.121513697
FTCD	-0.256346774
PPP1R17	0.179771529
TUBGCP2	-1.451267148
CLPX	-0.294880064
PDE10A	0.093528961
SRCAP	-0.837348176
PPP1R13L	-0.180128508
CD3EAP	-0.49205517
CCL27	-0.186465683
HPSE	-0.160069818
RUVBL2	-1.553679767
PGRMC1	
CYP46A1	-0.053994619
LILRB1	0.157619645
SLC26A1	-0.024041396
ADAM28	0.145933305
SLC22A7	-0.05802852
ARID5A	-0.253661326
HCP5	
TSPAN9	0.018450401
USP20	-0.078841438
USP19	-0.458334991
CEACAM7	-0.108288306
CD300C	-0.034953965
ME3	0.031652536
NMU	-0.059975891
FGL2	-0.053539258
EDDM3A	0.156988384
CFHR4	0.137270153
CFHR3	0.091869675
SMR3B	-0.268553632
CEACAM8	-0.17907605
ACTL7B	-0.041452509
ACTL7A	-0.313430993
C1QL1	0.006130988
WDR3	-1.131139055
NPFFR2	0.073980222
PROKR1	-0.071371011
GPR83	0.159504561
CEACAM4	-0.040471958
RAB10	-0.548988286
ZNF8-ERVK3-1	
PPARGC1A	0.142530206
MALT1	0.171516766
MMP24	-0.231694193
LYVE1	0.040114213
OCLM	-0.095259319
YIF1A	-0.138067325
CPSF4	-1.545996521
JTB	-0.175340462
ADCY3	-0.32987283
RUNDC3A	0.009026568
DHRS4	-0.253165563
BRD8	-0.506982319
BLCAP	-0.155551365
MAN1A2	-0.065479523
TRAFD1	0.147584946
TXNL4A	-1.914117401
PNPLA6	-0.106599597
SUGT1	-0.751501069
UTS2	-0.062952428
GADD45G	-0.113663501
EDAR	-0.116659865
PAPOLA	-0.212174308
TCERG1	-0.548478717
MAGED2	
BTNL3	-0.019917691
EHMT2	-0.117645726
COPS8	-1.022458642
RNPS1	-1.032964114
FASTK	0.090689758
SUB1	-0.084777556
SMPDL3A	0.037015712
DBF4	-0.792399335
SPIN1	0.016801467
RALBP1	-0.012796412
ARHGAP27P1-BPTFP1-KPNA2P3	
SRSF8	
APOBEC2	-0.126823479
MORF4L1	-0.094124642
PRDX3	-0.053077521
GPR75	-0.177588298
EHD1	-0.124547882
AFG3L2	-1.06407369
POP1	-0.88897375
UGT2A1	0.217720264
PRSS21	0.127887099
MSL3	
C11orf58	-0.128782343
KDELR1	-0.164738876
SF3A3	-1.284161942
AP3M2	-0.285205305
STARD3	-0.22853171
HNRNPA0	-0.431212192
BTG3	-0.016198562
CBX1	-0.594044054
SEC61B	-0.632206722
TOMM34	0.234896871
PDIA5	0.11380099
SERINC3	-0.214687622
OS9	-0.353888126
PNRC1	0.013955665
TMED2	-0.811187887
LMAN2	-0.350819095
ERP29	0.044793049
MLLT11	-0.04645186
ACOT2	0.123560089
EBNA1BP2	-1.103868821
CKAP4	0.097400964
HTD2	
YWHAQ	0.256742442
TMED10	-0.318497525
ASCC3	-0.239434129
ADIRF	-0.069529061
UQCR11	-0.097732873
CLP1	-1.245128493
FERMT2	-0.674063871
COPS6	-1.630943708
RAB32	0.087530569
CCNI	-0.072671867
KCNQ1OT1	
GCN1	
COPS5	-1.431705321
METAP2	-0.744684401
IMMT	-0.101719487
LILRB5	-0.010028744
SLC38A3	
SF3B2	-1.188993588
SDS	0.043083367
ILVBL	-0.159769889
SLC27A5	-0.215406569
SLC27A4	0.016240307
SLC27A3	0.006197001
PKD1P5-LOC105376752	
PPIP5K1P1-CATSPER2	
ANKRD20A4-ANKRD20A20P	
SLC27A2	-0.221248554
KIF2C	-0.510755169
SPINK5	0.148528613
LILRB4	-0.062140429
IL24	-0.250892411
C21orf59-TCP10L	
LOC110091777	
CHAD	-0.080523883
GLIPR1	-0.118063759
TLK2	-0.27668984
LOC110117498-PIK3R3	
KLK11	-0.046488279
TMSB15A	
KDELR2	-0.034928796
KDELR3	-0.095469558
ATF7	-0.13488104
SNRNP27	-1.234497121
TMED1	-0.118862137
LIAS	-0.34228052
RCBTB2	-0.2405059
RAB35	0.016574994
TDRKH	-0.028270402
VAX1	0.064076248
LILRA1	0.100988612
LILRA3	
LILRA2	0.125605689
CHAT	-0.005282245
RBPMS	0.042786769
RAB31	-0.029963687
ADAP1	-0.139249407
DSTN	-0.094654905
RIPK3	-0.321673799
